File Path,Title,Object Type,Source,Parent ARK,Item ARK
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_pseudo_WBUVO22-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_pseudo_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_sharpie_avgUV-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_sharpie_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_sharpie_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039r_61-079\AraNF-8_039r_61-079_KTK_pseudo_WBUVB47-VIS.tif,Image of Sinai Arabic NF 8 39r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039r_61-079,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_pseudo_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_pseudo_WBUVG58-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_pseudo_WBUVO22-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_pseudo_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_sharpie_avgUV-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_sharpie_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_sharpie_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080\AraNF-8_039v_61-080_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 39v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_039v_61-080,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040r_61-081\AraNF-8_040r_61-081_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 40r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040r_61-081,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040v_61-082\AraNF-8_040v_61-082_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 40v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040v_61-082,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040v_61-082\AraNF-8_040v_61-082_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 40v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_040v_61-082,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_041v_61-084\AraNF-8_041v_61-084_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 41v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_041v_61-084,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_042v_61-086\AraNF-8_042v_61-086_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 42v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_042v_61-086,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043r_61-087\AraNF-8_043r_61-087_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 43r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043r_61-087,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088\AraNF-8_043v_61-088_DJK_ICA_2band_01.tif,Image of Sinai Arabic NF 8 43v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088,,
