"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic NF X 51","","Work","","","49 ff.","122.6 g","codex","179 x 144 x 20.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 52","","Work","","","57 ff.","191.4 g","codex","187 x 140 x 19.0 mm","Paper","Arabic","8.1","13AB",""
"Sinai Arabic NF X 54","","Work","","","121 ff.","155.2 g","codex","130 x 96 x 29.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 58","","Work","","","25 ff.","59.4 g","codex","175 x 129 x 10.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 61","","Work","","","155 ff.","159.7 g","codex","124 x 97 x 40.0 mm","Paper","Arabic","8.1","112AB",""
"Sinai Arabic NF X 62","","Work","","","148 ff.","273.4 g","codex","186 x 149 x 42.0 mm","Paper","Arabic","8.1","","z999 found at 81r"
"Sinai Arabic NF X 63","","Work","","","47 ff.","121.9 g","codex","175 x 145 x 18.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 67","","Work","","","30 ff.","114.6 g","codex","223 x 148 x 12.0 mm","Paper","Arabic","8.1","",""
"Sinai Syriac 3B","","Work","1001/1100","11th c.","15 ff.","181.0 g","codex","217 x 152 x 30.0 mm","Parchment","CPA","8.1","manuscript has 15 folia and paper additions in between","z999 found at 3r / z998 found at 5r / z997 found at 6v"
"Sinai Syriac 10","","Work","801/900","9th c.","223 ff.","1936.3 g","codex","206 x 168 x 130.0 mm","Parchment","Syriac","8.1","",""
"Sinai Syriac 75","","Work","1295","1295","340 ff.","1691.3 g","codex","227 x 158 x 101.0 mm","Paper","Syriac","8.1","glued together: 88v-89r / 174AB / 187AB / 243AB / 273 is written as 773","z_998 found at 149r / z_999 found at 265r"
"Sinai Syriac 89","","Work","1101/1200","12th c.","148 ff.","2098.7 g","codex","250 x 170 x 105.0 mm","Paper","Syriac","8.1","","y_999a"
"Sinai Syriac 104","","Work","1201/1300","13th c.","225 ff.","1105.9 g","codex","192 x 155 x 77.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac 125","","Work","1201/1300","13th c.","268 ff.","1051.9 g","codex","174 x 141 x 130.0 mm","Paper","Arabic;Syriac","8.1","NO 190-199","z_999 found at 215r"
"Sinai Syriac 134","","Work","1201/1300","13th c.","95 ff.","571.1 g","codex","222 x 162 x 35.0 mm","Paper","Syriac","8.1","72AB",""
"Sinai Syriac 209","","Work","1201/1300","13th c.","183 ff.","1594.7 g","codex","270 x 187 x 70.0 mm","Paper","Syriac","8.1","48AB / 51AB / 52AB","z999 found at 135r"
"Sinai Syriac 237","","Work","1258","1258","305 ff.","1731.1 g","codex","226 x 175 x 100.0 mm","Paper","Syriac","8.1","1AB / 25AB / 29AB / 60AB / 88AB / 94AB / 98AB / 144AB / 175AB / 197AB / 203AB / 208AB / 215AB / 221AB / 275AB","z_999 found at 1r / z_998 found at 145r / z_997 found at 146r"
"Sinai Syriac NF M 8","","Work","601/800","7th c.","5 ff.","27.5 g","codex","200 x 133 x 17.0 mm","Parchment","Syriac","8.1","","faded ink / possible MSI"
"Sinai Syriac NF M 9","","Work","701/800","8th c.","54 ff.","263.6 g","codex","197 x 145 x 33.0 mm","Parchment","Syriac","8.1","",""
"Sinai Syriac NF X 1","","Work","901/1000","10th c.","50 ff.","136.1 g","codex","144 x 107 x 25.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 2","","Work","","","57 ff.","243.7 g","codex","177 x 139 x 25.0 mm","Paper","Syriac","8.1","14AB","stub f_012_sr,_sv"
"Sinai Syriac NF X 3","","Work","","","43 ff.","147.9 g","codex","167 x 135 x 28.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 5","","Work","","","58 ff.","211.6 g","codex","178 x 145 x 24.0 mm","Paper","Syriac","8.1","","b_000a / y_998r, v pastedown 3 pages glued together / y_999a"
"Sinai Syriac NF X 6","","Work","1001/1100","11th c.","45 ff.","105.1 g","codex","165 x 143 x 19.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 9","","Work","1599","1599","190 ff.","482.9 g","codex","139 x 108 x 90.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 10","","Work","701/800","8th c.","23 ff.","146.7 g","codex","203 x 150 x 33.0 mm","Paper","Syriac","8.1","palimpsest pastedown and back board inside","y_999a"
"Sinai Syriac NF X 11","","Work","901/1000","10th c.","8 ff.","24.5 g","codex","176 x 132 x 5.0 mm","Paper","Syriac;Greek","8.1","",""
"Sinai Syriac NF X 12","","Work","801/900","9th c.","8 ff.","21.7 g","codex","173 x 130 x 5.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 13","","Work","","","16 ff.","28.5 g","codex","143 x 109 x 10.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 14","","Work","","","17 ff.","46.2 g","codex","173 x 127 x 10.0 mm","Paper","Syriac","8.1","",""
"Sinai Syriac NF X 17","","Work","","","26 ff.","49.6 g","codex","150 x 119 x 15.0 mm","Paper","Syriac","8.1","ff. 1v-2r, 29v-30r stuck together","palimpsest ff.1-2, 29-30"
"Sinai Syriac NF X 24","","Work","","","10 ff.","23.3 g","codex","163 x 127 x 5.0 mm","Paper","Syriac","8.1","",""
