File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0013_f_012r.tif,21,sinai,"Syriac NF M 50, f. 12r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/t961868f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Ft961868f,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0014_f_012v.tif,22,sinai,"Syriac NF M 50, f. 12v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/x285mr3w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fx285mr3w,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0015_f_013r.tif,23,sinai,"Syriac NF M 50, f. 13r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/w654qn8g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fw654qn8g,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0016_f_013v.tif,24,sinai,"Syriac NF M 50, f. 13v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/ws11s06b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fws11s06b,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0017_f_014r.tif,25,sinai,"Syriac NF M 50, f. 14r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/fp72wx74,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Ffp72wx74,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0018_f_014v.tif,26,sinai,"Syriac NF M 50, f. 14v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/cf803r6h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fcf803r6h,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0019_f_015r.tif,27,sinai,"Syriac NF M 50, f. 15r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/9m134b87,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2F9m134b87,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0020_f_015v.tif,28,sinai,"Syriac NF M 50, f. 15v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/gb50c349,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fgb50c349,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0021_f_016r.tif,29,sinai,"Syriac NF M 50, f. 16r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/8x41rd5g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2F8x41rd5g,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0022_f_016v.tif,30,sinai,"Syriac NF M 50, f. 16v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/d056ns2v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fd056ns2v,
