"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.copyrightStatus","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0023_f_010r.tif","23","discovery","f. 010r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/sd99s727","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fsd99s727"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0024_f_010v.tif","24","discovery","f. 010v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/cn92gw3g","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fcn92gw3g"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0025_f_011r.tif","25","discovery","f. 011r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/3372mq4z","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F3372mq4z"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0026_f_011v.tif","26","discovery","f. 011v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/px326v2n","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fpx326v2n"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0027_f_012r.tif","27","discovery","f. 012r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/k096p35c","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fk096p35c"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0028_f_012v.tif","28","discovery","f. 012v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/b5684t3m","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fb5684t3m"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0029_f_013r.tif","29","discovery","f. 013r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/96862d3f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F96862d3f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0030_f_013v.tif","30","discovery","f. 013v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/kc05df7z","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fkc05df7z"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0031_f_014r.tif","31","discovery","f. 014r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/rg50bb72","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Frg50bb72"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0032_f_014v.tif","32","discovery","f. 014v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/bp000x6s","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fbp000x6s"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0033_f_015r.tif","33","discovery","f. 015r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/c607zz2k","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fc607zz2k"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0034_f_015v.tif","34","discovery","f. 015v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/wv86q34p","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fwv86q34p"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0035_f_016r.tif","35","discovery","f. 016r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/x070sj80","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fx070sj80"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0036_f_016v.tif","36","discovery","f. 016v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/4x35d75g","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F4x35d75g"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0037_f_017r.tif","37","discovery","f. 017r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/3z72jb0g","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F3z72jb0g"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0038_f_017v.tif","38","discovery","f. 017v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/17037j22","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F17037j22"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0039_f_018r.tif","39","discovery","f. 018r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/ft02117f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fft02117f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0040_f_018v.tif","40","discovery","f. 018v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/w2606v43","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fw2606v43"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0041_f_019r.tif","41","discovery","f. 019r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/ct616j63","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fct616j63"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0042_f_019v.tif","42","discovery","f. 019v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/c610tx9c","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fc610tx9c"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0043_f_020r.tif","43","discovery","f. 020r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/0170pp47","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F0170pp47"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0044_f_020v.tif","44","discovery","f. 020v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/nm484c7p","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fnm484c7p"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0045_f_021r.tif","45","discovery","f. 021r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/05574556","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F05574556"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0046_f_021v.tif","46","discovery","f. 021v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/7n56wj64","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F7n56wj64"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0047_f_022r.tif","47","discovery","f. 022r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/ks47f68f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fks47f68f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0048_f_022v.tif","48","discovery","f. 022v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/15135v7v","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F15135v7v"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0049_f_023r.tif","49","discovery","f. 023r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/7n38b57c","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F7n38b57c"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0050_f_023v.tif","50","discovery","f. 023v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/gr227b8r","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fgr227b8r"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0051_f_024r.tif","51","discovery","f. 024r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/pr616k5b","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fpr616k5b"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0052_f_024v.tif","52","discovery","f. 024v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/dj87dc5t","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fdj87dc5t"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0053_f_025r.tif","53","discovery","f. 025r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/0w531s5g","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F0w531s5g"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0054_f_025v.tif","54","discovery","f. 025v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/5q89b10x","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F5q89b10x"
