"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0023_f_010r.tif","23","discovery","f. 010r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/gk627b5w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fgk627b5w",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0024_f_010v.tif","24","discovery","f. 010v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/hh88sm04","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fhh88sm04",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0025_f_011r.tif","25","discovery","f. 011r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/1839kn35","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F1839kn35",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0026_f_011v.tif","26","discovery","f. 011v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/fs56vm2n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ffs56vm2n",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0027_f_012r.tif","27","discovery","f. 012r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/5m81s11r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F5m81s11r",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0028_f_012v.tif","28","discovery","f. 012v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/fj66dt6z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ffj66dt6z",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0029_f_013r.tif","29","discovery","f. 013r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/6459668v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F6459668v",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0030_f_013v.tif","30","discovery","f. 013v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/s074066x","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fs074066x",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0031_f_014r.tif","31","discovery","f. 014r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/5j28pw4q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F5j28pw4q",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0032_f_014v.tif","32","discovery","f. 014v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/5k68hc2w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F5k68hc2w",""
