Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 532,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 2
Sinai Arabic 548,Kamil,,Paradise of the Fathers ; Mimars,,Old Collection,delivery 2
Sinai Arabic 581,Kamil,,Mimars (9) by Theodore Bishop of Harrān,,Old Collection,delivery 2
Sinai Arabic 621,Kamil,,Commentary on the Epistle to the Romans by St. John Chrysostom,,Old Collection,delivery 2
Sinai Arabic 680,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 69,Kamil,,,Bible. Gospels,Old Collection,delivery 2
Sinai Arabic 695,Kamil,,Covenant of the Prophet Muhammad in Arabic,,Old Collection,delivery 2
Sinai Arabic 81,Kamil,,,Bible. Gospels,Old Collection,delivery 2
Sinai Arabic 85,Kamil,,Mimars,Bible. Revelation,Old Collection,delivery 2
Sinai Syriac 105,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Syriac 1B,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 240,Kamil,,,Bible. Psalms,Old Collection,delivery 2
Sinai Syriac 269,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 271,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Syriac 43,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 117,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 121,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 127,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Arabic 142,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 3
Sinai Arabic 162,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 3
Sinai Arabic 170,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 176,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 179,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Arabic 264,Kamil,,,Typikon,Old Collection,delivery 3
Sinai Arabic 271,Kamil,,Commentary on Psalms ; Commentary by St. Basil the Great Archbishop of Caesarea,,Old Collection,delivery 3
Sinai Arabic 281,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 3
Sinai Arabic 283,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 3
Sinai Arabic 290,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 3
Sinai Arabic 301,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 302,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 303,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 3
Sinai Arabic 304,Kamil,,Homilies of St. John Chrysostom,,Old Collection,delivery 3
Sinai Arabic 309,Kamil,,"Homilies of St. Cyril, Patriarch of Jerusalem ; Sermons of Archbishop John of Jerusalem",,Old Collection,delivery 3
Sinai Arabic 312,Kamil,,Mimars by St. Ephraem,,Old Collection,delivery 3
Sinai Arabic 315,Kamil,,Mimars by St. Ephraem,,Old Collection,delivery 3
Sinai Arabic 326,Kamil,,"Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion",,Old Collection,delivery 3
Sinai Arabic 331,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 334,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 336,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 3
Sinai Arabic 365,Kamil,,Sayings of St. Dorotheus,,Old Collection,delivery 3
Sinai Arabic 373,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 3
Sinai Arabic 387,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 3
Sinai Arabic 391,Kamil,,The Twelve Chapters of St. Cyril’s excommunication of Nestorius ; Canons,,Old Collection,delivery 3
Sinai Arabic 395,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 396,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 397,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 398,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 400,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 401,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 402,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 403,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 405,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 406,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 407,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 412,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Arabic 417,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Arabic 423,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Arabic 456,Kamil,,Varia,,Old Collection,delivery 3
Sinai Arabic 476,Kamil,,Apophthegmata ; Mimars ; Epistles,,Old Collection,delivery 3
Sinai Arabic 483,Kamil,,Book of “The Spiritual Paradise”,,Old Collection,delivery 3
Sinai Arabic 492,Kamil,,Paradise of the Fathers ; Mimars,,Old Collection,delivery 3
Sinai Arabic 503,Kamil,,Life of St. Gregory of Sicily ; Life of Gregory the Miracle-Maker,,Old Collection,delivery 3
Sinai Arabic 506,Kamil,,Mimars ; Paradise of the Fathers,Barlaam and Joasaph,Old Collection,delivery 3
Sinai Arabic 53,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 3
Sinai Arabic 538,Kamil,,Lives of Saints,,Old Collection,delivery 3
Sinai Arabic 558,Kamil,,Lives of Saints ; Paradise of the Fathers,,Old Collection,delivery 3
Sinai Arabic 569,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 3
Sinai Arabic 570,Kamil,,Varia,,Old Collection,delivery 3
Sinai Arabic 594,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Arabic 596,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Arabic 626,Kamil,,"Commentary on the Epistles to the Hebrews by St. John Chrysostom, in 34 discourses",,Old Collection,delivery 3
Sinai Arabic 678,Kamil,,,Octoechos,Old Collection,delivery 3
Sinai Arabic 683,Kamil,,,Anthologion,Old Collection,delivery 3
Sinai Arabic 685,Kamil,,,Pentekostarion,Old Collection,delivery 3
Sinai Arabic 686,Kamil,,,Anthologion,Old Collection,delivery 3
Sinai Arabic 71,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 75,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 80,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 89,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 93,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Arabic 99,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Syriac 182,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 183,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 184,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 186,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 189,Kamil,,,Synaxarion,Old Collection,delivery 3
Sinai Syriac 195,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 207,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 210,Kamil,,,Octoechos,Old Collection,delivery 3
Sinai Syriac 211,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 214,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Syriac 216,Kamil,,,Lectionary,Old Collection,delivery 3
Sinai Syriac 217,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 219,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 220,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 232,Kamil,,,Troparion,Old Collection,delivery 3
Sinai Syriac 234,Kamil,,,Prophetologion,Old Collection,delivery 3
Sinai Syriac 238,Kamil,,,Evangelion,Old Collection,delivery 3
Sinai Syriac 2A,Kamil,,,Bible. Gospels,Old Collection,delivery 3
Sinai Syriac 45,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 70,Kamil,,,Triodion,Old Collection,delivery 3
Sinai Syriac 84,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 86,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 87,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 88,Kamil,,,Menologion,Old Collection,delivery 3
Sinai Syriac 95,Kamil,,Services,,Old Collection,delivery 3
Sinai Syriac 97,Kamil,,,Octoechos,Old Collection,delivery 3
