Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 589,Kamil,,,Bible. Ezra|~|Bible. Baruch,Old Collection,delivery 4.4
Sinai Arabic 595,Kamil,,,Prophetologion,Old Collection,delivery 4.4
Sinai Arabic 597,Kamil,,,Bible. Daniel|~|Bible. Proverbs,Old Collection,delivery 4.4
Sinai Syriac 110,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 18,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 185,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 187,Kamil,,Parakletiki,,Old Collection,delivery 4.4
Sinai Syriac 19,Kamil,,Sermons on Song of Songs,,Old Collection,delivery 4.4
Sinai Syriac 192,Kamil,,,Typikon,Old Collection,delivery 4.4
Sinai Syriac 193,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 194,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 196,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 197,Kamil,,,Octoechos,Old Collection,delivery 4.4
Sinai Syriac 1A,Kamil,,,Synaxarion,Old Collection,delivery 4.4
Sinai Syriac 20,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 203,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 212,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 213,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 218,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 22,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 230,Kamil,,,Troparion,Old Collection,delivery 4.4
Sinai Syriac 235,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 270,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 279,Kamil,,,Bible. Maccabees,Old Collection,delivery 4.4
Sinai Syriac 28,Kamil,,,Bible. Kings,Old Collection,delivery 4.4
Sinai Syriac 2B,Kamil,,,Evangelion,Old Collection,delivery 4.4
Sinai Syriac 31,Kamil,,"Mimars by SS. John, Jacob, and others",,Old Collection,delivery 4.4
Sinai Syriac 4,Kamil,,,Triodion,Old Collection,delivery 4.4
Sinai Syriac 44,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 46,Kamil,,Lives of Egyptian Fathers,,Old Collection,delivery 4.4
Sinai Syriac 60,Kamil,,Treatises by St. Euagrius,,Old Collection,delivery 4.4
Sinai Syriac 7,Kamil,,,Evangelion,Old Collection,delivery 4.4
Sinai Syriac 79,Kamil,,,Octoechos,Old Collection,delivery 4.4
Sinai Syriac 82,Kamil,,Lives of Saints,,Old Collection,delivery 4.4
Sinai Syriac 83,Kamil,,Services,,Old Collection,delivery 4.4
