Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 699,,,,Octoechos,Old Collection,delivery 4.2
Sinai Arabic 702,,,Varia,,Old Collection,delivery 4.2
Sinai Greek 35,Kamil,,,Bible. Psalms,Old Collection,delivery 4.2
Sinai Greek 36,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.2
Sinai Syriac 106,Kamil,,,Horologion,Old Collection,delivery 4.2
Sinai Syriac 107,Kamil,,,Octoechos,Old Collection,delivery 4.2
Sinai Syriac 13,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 14,Kamil,,"Sayings of SS. Macarius, John Carpatheus, Isaac the Syrian and Gregory Nazienzis",,Old Collection,delivery 4.2
Sinai Syriac 227,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 229,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 259,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 266,Kamil,,,Troparion,Old Collection,delivery 4.2
Sinai Syriac 35,Kamil,,,Bible. Samuel,Old Collection,delivery 4.2
Sinai Syriac 50,Kamil,,,Sticherarion,Old Collection,delivery 4.2
Sinai Syriac 76,Kamil,,,Evangelion,Old Collection,delivery 4.2
Sinai Syriac 8,Kamil,,,Prophetologion,Old Collection,delivery 4.2
Sinai Syriac 93,Kamil,,Services,,Old Collection,delivery 4.2
Sinai Syriac 94,Kamil,,,Lectionary,Old Collection,delivery 4.2
Sinai Syriac 96,Kamil,,Services,,Old Collection,delivery 4.2
