File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0043_f_022r.tif,43,discovery,f. 022r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/b845n21t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0044_f_022v.tif,44,discovery,f. 022v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/0s99rj7d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0045_f_023r.tif,45,discovery,f. 023r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/x6611p36,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0046_f_023v.tif,46,discovery,f. 023v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/j094ws73,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0047_f_024r.tif,47,discovery,f. 024r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/7v829696,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0048_f_024v.tif,48,discovery,f. 024v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/np76k127,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0049_f_025r.tif,49,discovery,f. 025r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/6414qh9t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0050_f_025v.tif,50,discovery,f. 025v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/ps17xm4d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0051_f_026r.tif,51,discovery,f. 026r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/vv345m02,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0052_f_026v.tif,52,discovery,f. 026v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/7g39n86g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0053_f_027r.tif,53,discovery,f. 027r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/jv900c64,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0054_f_027v.tif,54,discovery,f. 027v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/9n95dd6g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0055_f_028r.tif,55,discovery,f. 028r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/4342fx5b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0056_f_028v.tif,56,discovery,f. 028v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/g492kj71,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
