"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0023_f_012r.tif","23","discovery","f. 012r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/0t00sz1s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F0t00sz1s"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0024_f_012v.tif","24","discovery","f. 012v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/0j63wn4r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F0j63wn4r"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0025_f_013r.tif","25","discovery","f. 013r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/0r06jg7j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F0r06jg7j"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0026_f_013v.tif","26","discovery","f. 013v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/km23g24r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fkm23g24r"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0027_f_014r.tif","27","discovery","f. 014r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/dc43wf6z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fdc43wf6z"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0028_f_014v.tif","28","discovery","f. 014v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/pp12nv4t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fpp12nv4t"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0029_f_015r.tif","29","discovery","f. 015r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/p1967w6p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fp1967w6p"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0030_f_015v.tif","30","discovery","f. 015v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/6b24t311","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F6b24t311"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0031_f_016r.tif","31","discovery","f. 016r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/vh585151","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fvh585151"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0032_f_016v.tif","32","discovery","f. 016v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/7v13wn68","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F7v13wn68"
