File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0041_f_020r.tif,41,discovery,f. 020r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/b5674h67,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0042_f_020v.tif,42,discovery,f. 020v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/0567645n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0043_f_021r.tif,43,discovery,f. 021r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/tj857094,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0044_f_021v.tif,44,discovery,f. 021v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/tv74td3q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0045_f_022r.tif,45,discovery,f. 022r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/7114fn6v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0046_f_022v.tif,46,discovery,f. 022v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/24366732,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0047_f_023r.tif,47,discovery,f. 023r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/9398gm26,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0048_f_023v.tif,48,discovery,f. 023v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/b060zq4k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0049_f_024r.tif,49,discovery,f. 024r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/z792871v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0050_f_024v.tif,50,discovery,f. 024v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/gh754042,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0051_f_025r.tif,51,discovery,f. 025r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/xj06rb84,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0052_f_025v.tif,52,discovery,f. 025v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/xw48d21s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0053_f_026r.tif,53,discovery,f. 026r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/4j03dp8q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0054_f_026v.tif,54,discovery,f. 026v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/7161cz99,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0055_f_027r.tif,55,discovery,f. 027r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/mb998t3g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0056_f_027v.tif,56,discovery,f. 027v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/bz580x5r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0057_f_028r.tif,57,discovery,f. 028r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/qz61sh55,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0058_f_028v.tif,58,discovery,f. 028v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/x449v52f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0059_f_029r.tif,59,discovery,f. 029r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/g6631b1w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0060_f_029v.tif,60,discovery,f. 029v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/0754b90x,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0061_f_030r.tif,61,discovery,f. 030r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/sw00z26f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0062_f_030v.tif,62,discovery,f. 030v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/zv37wk6c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0063_f_031r.tif,63,discovery,f. 031r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/zg35th8s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0064_f_031v.tif,64,discovery,f. 031v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/hv300t2n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0065_f_032r.tif,65,discovery,f. 032r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/nt012n8q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0066_f_032v.tif,66,discovery,f. 032v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/b405933j,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0067_f_033r.tif,67,discovery,f. 033r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/mb262r26,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
