File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights statement (local)
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0047_f_020r.tif,47,discovery,f. 020r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/3h896x2w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0048_f_020v.tif,48,discovery,f. 020v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/cz01pj1r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0049_f_021r.tif,49,discovery,f. 021r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/5c47pr73,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0050_f_021v.tif,50,discovery,f. 021v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/sm77h895,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0051_f_022r.tif,51,discovery,f. 022r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/0442rs9d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0052_f_022v.tif,52,discovery,f. 022v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/r9959549,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0053_f_023r.tif,53,discovery,f. 023r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/3n99pn93,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0054_f_023v.tif,54,discovery,f. 023v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/h5675c2m,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0055_f_024r.tif,55,discovery,f. 024r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/k031g090,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0056_f_024v.tif,56,discovery,f. 024v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/1w189n0n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
