shelfmark,ark,front_board,back_board
Sinai Arabic 248,ark:/21198/z1ff5b1w,True,True
Sinai Arabic 62,ark:/21198/z1n6052t,False,True
Sinai Arabic 63,ark:/21198/z1hd9ddf,True,True
Sinai Arabic 261,ark:/21198/z15x3tmw,True,True
Sinai Arabic 467,ark:/21198/z1cg17sq,True,True
Sinai Arabic 329,ark:/21198/z1j691kc,True,True
Sinai Arabic 159,ark:/21198/z1gf2c75,True,True
Sinai Syriac 260,ark:/21198/z1z33hdb,False,False
Sinai Syriac 102,ark:/21198/z1x93vzd,True,True
Sinai Syriac 116,ark:/21198/z1ns2cnj,True,True
Sinai Syriac 103,ark:/21198/z1sj348x,True,True
Sinai Syriac 261,ark:/21198/z1tf1g2w,False,True
Sinai Arabic 600,ark:/21198/z1321dnc,False,False
Sinai Arabic 228,ark:/21198/z1pz6tkk,True,True
Sinai Arabic 361,ark:/21198/z14x6shz,True,False
Sinai Syriac 264,ark:/21198/z1pp0qfh,True,True
Sinai Arabic 377,ark:/21198/z1184r7q,True,True
Sinai Arabic 388,ark:/21198/z1wh47sv,True,True
Sinai Syriac 64,ark:/21198/z15t547d,True,True
Sinai Arabic 559,ark:/21198/z1g74zfk,True,True
Sinai Syriac 138,ark:/21198/z18k8tvd,True,True
Sinai Syriac 139,ark:/21198/z14t8331,True,True
Sinai Arabic 389,ark:/21198/z1rr3gzs,False,False
Sinai Syriac 273,ark:/21198/z1jw9zmw,True,True
Sinai Arabic 160,ark:/21198/z1bp1mg0,True,True
Sinai Arabic 145,ark:/21198/z1989bbg,True,True
Sinai Arabic 151,ark:/21198/z1vx1kvk,True,True
Sinai Arabic 435,ark:/21198/z1zk6kz9,True,True
Sinai Arabic 233,ark:/21198/z1fr10wj,True,True
Sinai Arabic 582,ark:/21198/z1jd614g,True,True
Sinai Arabic 352,ark:/21198/z14b44n8,True,True
Sinai Arabic 434,ark:/21198/z13b73gf,True,True
Sinai Arabic 346,ark:/21198/z1cr6xp9,True,True
Sinai Arabic 378,ark:/21198/z1vt2wdt,True,True
Sinai Arabic 224,ark:/21198/z1kh1rmw,True,True
Sinai Arabic 27,ark:/21198/z1tm8fdb,True,True
Sinai Arabic 379,ark:/21198/z1r224ps,True,True
Sinai Arabic 345,ark:/21198/z1hh7p9p,True,True
Sinai Arabic 351,ark:/21198/z18065z8,True,True
Sinai Arabic 153,ark:/21198/z1r79jjb,True,True
Sinai Arabic 382,ark:/21198/z1m91cz2,True,True
Sinai Syriac 126,ark:/21198/z1g74j17,True,True
Sinai Arabic 37,ark:/21198/z1rn4c44,True,True
Sinai Syriac 127,ark:/21198/z1bg3sbz,True,True
Sinai Arabic 624,ark:/21198/z18w4hnk,True,True
Sinai Arabic 197,ark:/21198/z1zp59fx,True,True
Sinai Arabic 222,ark:/21198/z1q82hfz,True,True
Sinai Arabic 9,ark:/21198/z1sr03rq,True,True
Sinai Arabic 425,ark:/21198/z1737v8p,True,True
Sinai Arabic 196,ark:/21198/z13f5sxt,True,True
Sinai Arabic 494,ark:/21198/z1xk9jtx,True,True
Sinai Arabic 319,ark:/21198/z11k0f3s,False,False
Sinai Syriac 208,ark:/21198/z1tf11mp,True,True
Sinai Arabic 131,ark:/21198/z1g17437,True,True
Sinai Arabic 327,ark:/21198/z1ws9xjn,True,True
Sinai Arabic 469,ark:/21198/z1fn29g7,False,True
Sinai Arabic 247,ark:/21198/z1669hh5,True,True
Sinai Arabic 246,ark:/21198/z1b0085j,True,True
Sinai Arabic 450,ark:/21198/z1q253jd,True,True
Sinai Arabic 487,ark:/21198/z12c0295,True,False
Sinai Arabic 451,ark:/21198/z1k94bwk,True,True
Sinai Arabic 337,ark:/21198/z1n88f1d,True,True
Sinai Arabic 123,ark:/21198/z1ks7vtv,True,True
Sinai Arabic 57,ark:/21198/z15q60cw,True,True
Sinai Syriac 190,ark:/21198/z12z28sj,True,True
Sinai Arabic 254,ark:/21198/z1xs6zqg,True,True
Sinai Arabic 259,ark:/21198/z1t166z0,True,True
Sinai Arabic 67,ark:/21198/z1sf40hr,True,True
Sinai Arabic 270,ark:/21198/z1p85g5s,True,True
Sinai Arabic 272,ark:/21198/z1jh4qf2,True,True
