"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic 549","","Work","1001/1100","11th c.","347 ff.","851.0 g","codex","168 x 150 x 90.0 mm","Paper","Arabic","7","",""
"Sinai Syriac 101","","Work","1382","1382","210 ff.","956.0 g","codex","202 x 150 x 70.0 mm","Paper","Syriac","7","","211r = y_999"
"Sinai Syriac 205","","Work","1201/1300","13th c.","328 ff.","2363.3 g","codex","270 x 203 x 109.0 mm","Paper","Syriac","7","19AB / 325AB","stub f_001_sr, _sv / z999 found at 311r"
"Sinai Syriac 206","","Work","1201/1300","13th c.","204 ff.","1029.2 g","codex","298 x 182 x 49.0 mm","Paper","Syriac","7","3AB / 26AB / 31AB / 49AB / 55AB / 69AB / 98AB / 103AB / 109AB / 128AB / 133AB / 143AB / 150AB / 167AB / 179AB / 184AB",""
"Sinai Syriac 223","","Work","1201/1300","13th c.","211 ff.","981.2 g","codex","193 x 155 x 75.0 mm","Paper","Syriac","7","121ABC / 132AB",""
"Sinai Syriac 247","","Work","1201/1300","13th c.","109 ff.","731.9 g","codex","173 x 147 x 92.0 mm","Paper","Syriac","7","1AB / NO 29-88",""
"Sinai Syriac NF M 3","","Work","1201/1300","13th c.","163 ff.","476.3 g","codex","128 x 113 x 116.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 10","","Work","701/900","8th c.","33 ff.","126.6 g","codex","177 x 114 x 60.0 mm","Parchment","Syriac","7","includes Syriac NF sp 26 (Syriac NF fragment 26)",""
"Sinai Syriac NF M 13","","Work","801/1000","9th c.","73 ff.","246.5 g","codex","166 x 122 x 48.0 mm","Parchment","Syriac","7","NO 1-10 / NO 31-32 / ff. 82v-84r stuck together / palimpsest Syriac over Syriac","z998 found at 25r / z999"
"Sinai Syriac NF M 14","","Work","801/1000","9th c.","77 ff.","346.8 g","codex","202 x 163 x 33.0 mm","Parchment","Syriac","7","","z999 found at 41r"
"Sinai Syriac NF M 15","","Work","932/933","10th c.","118 ff.","870.8 g","codex","253 x 193 x 54.0 mm","Parchment","Syriac","7","NO 1",""
"Sinai Syriac NF M 16","","Work","901/1000","10th c.","192 ff.","767.8 g","codex","200 x 170 x 85.0 mm","Parchment;Paper","Syriac","7","NO 9-16 / ff 1-80 parchment / ff 81_1-81_120 paper","z999 found at 21r / z998 found at 43r / z997 found at 53r / z996 found at 81_33r / z995 found at 81_39r/ z994 found at 81_51r / z993 found at 81_88r"
"Sinai Syriac NF M 17","","Work","901/1100","10th c.","77 ff.","166.9 g","codex","129 x 106 x 44.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 20","","Work","801/900","9th c.","137 ff.","617.1 g","codex","181 x 135 x 60.0 mm","Parchment","Syriac","7","NO 1-42",""
"Sinai Syriac NF M 23","","Work","801/1000","9th c.","13 ff.","178.8 g","codex","180 x 137 x 25.0 mm","Parchment","Syriac","7","","14r = y_999"
"Sinai Syriac NF M 24","","Work","601/700","7th c.","19 ff.","142.3 g","codex","245 x 170 x 17.0 mm","Parchment","Syriac","7","","1v full page decorative element prophet David"
"Sinai Syriac NF M 25","","Work","501/600","6th c.","9 ff.","59.9 g","codex","224 x 145 x 17.0 mm","Parchment","Syriac","7","NO 1-63",""
"Sinai Syriac NF M 26","","Work","501/600","6th c.","8 ff.","74.5 g","codex","266 x 223 x 10.0 mm","Parchment","Syriac","7","includes Syriac NF sp 78 (Syriac NF fragment 78) labeled sp17 in box",""
"Sinai Syriac NF M 27","","Work","543","543","7 ff.","60.6 g","codex","260 x 211 x 12.0 mm","Parchment","Syriac","7","NO 1-225",""
"Sinai Syriac NF M 28","","Work","601/700","7th c.","12 ff.","105.4 g","codex","266 x 177 x 19.0 mm","Parchment","Syriac","7","NO 1-2 / 10ABCDE",""
"Sinai Syriac NF M 30","","Work","501/700","6th c.","7 ff.","48.9 g","codex","229 x 137 x 22.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 31","","Work","1179","1179","8 ff.","33.7 g","codex","219 x 148 x 7.0 mm","Parchment","Syriac","7","","decorative elements: 2r, 2v"
"Sinai Syriac NF M 32","","Work","601/800","7th c.","6 ff.","37.5 g","codex","212 x 137 x 10.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 33","","Work","701/900","8th c.","10 ff.","35.0 g","codex","202 x 130 x 12.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 34","","Work","801/1000","9th c.","2 ff.","15.8 g","codex","223 x 140 x 4.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 35","","Work","701/900","8th c.","4 ff.","28.0 g","codex","223 x 149 x 11.0 mm","Parchment","Syriac","7","NO 3-4",""
"Sinai Syriac NF M 37","","Work","801/1000","9th c.","6 ff.","31.8 g","codex","226 x 172 x 10.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 38","","Work","801/1000","9th c.","8 ff.","47.8 g","codex","227 x 184 x 10.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 39","","Work","801/1000","9th c.","18 ff.","104.2 g","codex","230 x 181 x 19.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 40","","Work","501/600","6th c.","10 ff.","61.2 g","codex","205 x 159 x 15.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 41","","Work","1252","1252","15 ff.","95.0 g","codex","242 x 203 x 33.0 mm","Parchment","CPA","7","",""
"Sinai Syriac NF M 42","","Work","","","8 ff.","37.1 g","codex","238 x 180 x 10.0 mm","Parchment","CPA","7","",""
"Sinai Syriac NF M 60","","Work","1201/1300","13th c.","14 ff.","24.3 g","codex","105 x 94 x 15.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 61","","Work","701/800","8th c.","3 ff.","8.5 g","codex","164 x 118 x 4.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 62","","Work","1260","1260","32 ff.","135.7 g","codex","145 x 145 x 25.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 63","","Work","1001/1100","11th c.","4 ff.","18.1 g","codex","210 x 152 x 7.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 64","","Work","801/900","9th c.","4 ff.","28.2 g","codex","249 x 190 x 10.0 mm","Parchment","Syriac","7","palimpsest 2 UTOs Greek and CPA",""
"Sinai Syriac NF M 65","","Work","701/800","8th c.","6 ff.","49.9 g","codex","215 x 154 x 10.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 66","","Work","801/1000","9th c.","8 ff.","42.6 g","codex","190 x 125 x 7.0 mm","Parchment","Syriac","7","palimpsest Syriac",""
"Sinai Syriac NF M 67","","Work","501/600","6th c.","8 ff.","53.3 g","codex","229 x 151 x 8.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 68","","Work","501/700","6th c.","1 ff.","4.7 g","codex","129 x 194 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 69","","Work","1201/1300","13th c.","6 ff.","20.3 g","codex","176 x 114 x 8.0 mm","Parchment","Syriac","7","palimpsest Syriac",""
"Sinai Syriac NF M 71","","Work","1291","1291","4 ff.","57.9 g","codex","331 x 243 x 14.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 72","","Work","1290","1290","8 ff.","31.9 g","codex","168 x 124 x 7.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 74","","Work","801/900","9th c.","6 ff.","31.3 g","codex","213 x 138 x 8.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 75","","Work","851/950","9th c.","10 ff.","32.2 g","codex","147 x 106 x 11.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 76","","Work","932/933","10th c.","1 ff.","4.2 g","codex","194 x 126 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 77","","Work","801/1000","9th c.","1 ff.","5.7 g","codex","176 x 128 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 78","","Work","801/900","9th c.","2 ff.","247.0 g","codex","264 x 180 x 20.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 80","","Work","601/800","7th c.","1 ff.","9.9 g","codex","244 x 160 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 81","","Work","601/800","7th c.","8 ff.","49.6 g","codex","307 x 194 x 10.0 mm","Parchment","Syriac","7","1AB / 6AB",""
"Sinai Syriac NF M 84","","Work","501/600","6th c.","8 ff.","54.1 g","codex","255 x 166 x 15.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 86","","Work","801/1000","9th c.","8 ff.","11.5 g","codex","123 x 82 x 10.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 87","","Work","601/800","7th c.","1 ff.","2.4 g","codex","136 x 90 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 88","","Work","501/700","6th c.","1 ff.","7.1 g","codex","248 x 162 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 89","","Work","801/900","9th c.","5 ff.","31.7 g","codex","272 x 186 x 9.0 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF M 90","","Work","","","1 ff.","8.6 g","codex","250 x 173 x 0.5 mm","Parchment","Syriac","7","",""
"Sinai Syriac NF X 25","","Work","","","14 ff.","114.1 g","codex","285 x 213 x 8.0 mm","Paper","Syriac","7","",""
"Sinai Syriac NF X 26","","Work","","","65 ff.","198.2 g","codex","188 x 140 x 25.0 mm","Paper","Arabic;Syriac","7","",""
"Sinai Syriac NF X 27","","Work","701/800","8th c.","12 ff.","31.7 g","codex","198 x 141 x 7.0 mm","Paper","Syriac","7","","stub f_003_sr,_sv"
"Sinai Syriac NF X 28","","Work","","","151 ff.","175.7 g","codex","131 x 94 x 48.0 mm","Paper","Syriac","7","",""
"Sinai Syriac NF X 29","","Work","","","18 ff.","30.1 g","codex","141 x 96 x 10.0 mm","Paper","Syriac","7","",""
