Title,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Item ARK,Format.dimensions,Support,Language,AltIdentifier.local,delivery,Comments
Sinai Arabic 623,Work,1201/1300,13th c.,125 ff.,192 g,codex,ark:/21198/z1dv33k7,149 x 110 x 30.0 mm,Paper,Arabic,Sinai Arabic 623,6.2,
Sinai Arabic 677,Work,1201/1300,13th c.,85 ff.,380.3 g,codex,ark:/21198/z1932bvt,212 x 156 x 31.0 mm,Paper,Arabic,Sinai Arabic 677,6.2,
Sinai Syriac 6,Work,1178,1178,170 ff.,1671.8 g,codex,ark:/21198/z15b1m5z,244 x 204 x 90.0 mm,Parchment,Syriac,Sinai Syriac 6,6.2,Palimpsest throughout
Sinai Syriac 11,Work,801/900,9th c.,126 ff.,1181.6 g,codex,ark:/21198/z11k0vjk,245 x 167 x 71.0 mm,Parchment,Syriac,Sinai Syriac 11,6.2,
Sinai Syriac 23,Work,801/900,9th c.,121 ff.,1195.9 g,codex,ark:/21198/z1ww92dj,253 x 179 x 65.0 mm,Parchment,Syriac,Sinai Syriac 23,6.2,
Sinai Syriac 33,Work,1001/1100,11th c.,130 ff.,742.3 g,codex,ark:/21198/z1s489r1,212 x 157 x 62.0 mm,Parchment,Syriac,Sinai Syriac 33,6.2,Palimpsest beginning at f. 41 / MSI
Sinai Syriac 36,Work,1201/1300,13th c.,110 ff.,501.8 g,codex,ark:/21198/z1nc7jzd,168 x 141 x 55.0 mm,Paper,Syriac,Sinai Syriac 36,6.2,
Sinai Syriac 39,Work,1101/1300,12th c.,233 ff.,1055 g,codex,ark:/21198/z1hm6t4r,175 x 130 x 103.0 mm,Parchment,Syriac,Sinai Syriac 39,6.2,palimpsest parts in almost throughout the book
Sinai Syriac 41,Work,801/900,9th c.,47 ff.,118.7 g,codex,ark:/21198/z1cv62dd,140 x 98 x 26.0 mm,Parchment,Syriac,Sinai Syriac 41,6.2,
Sinai Syriac 54,Work,701/800,8th c.,184 ff.,2464.9 g,codex,ark:/21198/z18359qf,252 x 182 x 103.0 mm,Parchment,Syriac,Sinai Syriac 54,6.2,11v-12r glued together / f.1-16 Paper
Sinai Syriac 59,Work,801/900,9th c.,61 ff.,535 g,codex,ark:/21198/z14b4k21,273 x 184 x 50.0 mm,Parchment,Syriac,Sinai Syriac 59,6.2,
Sinai Syriac 67,Work,801/900,9th c.,89 ff.,325.8 g,codex,ark:/21198/z10p2hq5,140 x 123 x 49.0 mm,Parchment,Syriac,Sinai Syriac 67,6.2,
Sinai Syriac 72,Work,1201/1300,13th c.,261 ff.,1829 g,codex,ark:/21198/z1vx2195,267 x 189 x 120.0 mm,Paper,Syriac,Sinai Syriac 72,6.2,
Sinai Syriac 73,Work,1201/1300,13th c.,199 ff.,1665.5 g,codex,ark:/21198/z1r518gd,253 x 182 x 70.0 mm,Paper,Syriac,Sinai Syriac 73,6.2,decorative elements 70%
Sinai Syriac 141,Work,1201/1300,13th c.,200 ff.,542.2 g,codex,ark:/21198/z1md0hps,170 x 117 x 56.0 mm,Parchment,Syriac,Sinai Syriac 141,6.2,
Sinai Syriac 150,Work,1201/1300,13th c.,91 ff.,529.7 g,codex,ark:/21198/z1gm9rzh,165 x 136 x 51.0 mm,Paper,Syriac,Sinai Syriac 150,6.2,
Sinai Syriac 151,Work,1201/1300,13th c.,125 ff.,591.5 g,codex,ark:/21198/z1bv919g,166 x 139 x 55.0 mm,Paper,Syriac,Sinai Syriac 151,6.2,"f. 41v-44r, 47v-49r, 50v-51r, 66v-68r, 69v-72r, 73v-76r, 78v-82r, 87v-91r, 92v-93r, 102v-103r stuck together"
Sinai Syriac 154,Work,1201/1300,13th c.,227 ff.,742.3 g,codex,ark:/21198/z17388nz,151 x 136 x 83.0 mm,Parchment,Syriac,Sinai Syriac 154,6.2,
Sinai Syriac 155,Work,1256,1256,254 ff.,754 g,codex,ark:/21198/z13f67cd,156 x 126 x 80.0 mm,Paper,Syriac,Sinai Syriac 155,6.2,
Sinai Syriac 161,Work,1201/1300,13th c.,39 ff.,177.9 g,codex,ark:/21198/z1zp5qwq,170 x 131 x 23.0 mm,Paper,Syriac,Sinai Syriac 161,6.2,
Sinai Syriac 163,Work,1201/1300,13th c.,76 ff.,254.5 g,codex,ark:/21198/z1tx504b,169 x 129 x 34.0 mm,Paper,Syriac,Sinai Syriac 163,6.2,
Sinai Syriac 164,Work,1201/1300,13th c.,98 ff.,300.7 g,codex,ark:/21198/z1q5479k,165 x 136 x 34.0 mm,Paper,Syriac,Sinai Syriac 164,6.2,
Sinai Syriac 166,Work,1267,1267,242 ff.,679.6 g,codex,ark:/21198/z1kd3gkv,147 x 123 x 85.0 mm,Paper,Syriac,Sinai Syriac 166,6.2,"f. 39, 62, 105, 121, 132, 152, 185, 236, 240, 245, 251 stuck / f. 92, 93 split"
Sinai Syriac 168,Work,1201/1300,13th c.,201 ff.,593.7 g,codex,ark:/21198/z1fn2qwk,146 x 127 x 69.0 mm,Paper,Syriac,Sinai Syriac 168,6.2,
Sinai Syriac 173,Work,1201/1300,13th c.,123 ff.,256.3 g,codex,ark:/21198/z19w2080,139 x 110 x 44.0 mm,Paper,Syriac,Sinai Syriac 173,6.2,
Sinai Syriac 174,Work,1296,1296,191 ff.,586 g,codex,ark:/21198/z1669xxh,156 x 116 x 78.0 mm,Paper,Syriac,Sinai Syriac 174,6.2,
Sinai Syriac 215,Work,1219,1219,191 ff.,1421.9 g,codex,ark:/21198/z12f9671,252 x 178 x 68.0 mm,Paper,Syriac,Sinai Syriac 215,6.2,decorative elements: 1v
Sinai Syriac 233,Work,1251,1251,201 ff.,1426 g,codex,ark:/21198/z1xp8pn0,268 x 190 x 69.0 mm,Paper,Syriac,Sinai Syriac 233,6.2,f. 1-4 parchment
Sinai Syriac 245,Work,1273,1273,193 ff.,710.5 g,codex,ark:/21198/z1sx7xwt,171 x 132 x 78.0 mm,Paper,Syriac,Sinai Syriac 245,6.2,
Sinai Syriac 248,Work,1201/1300,13th c.,263 ff.,516.4 g,codex,ark:/21198/z1p57656,160 x 106 x 75.0 mm,Paper,Syriac,Sinai Syriac 248,6.2,
Sinai Syriac 254,Work,1201/1300,13th c.,54 ff.,279.6 g,codex,ark:/21198/z1jd6fhc,189 x 144 x 30.0 mm,Paper,Syriac,Sinai Syriac 254,6.2,
Sinai Syriac 256,Work,1240,1240,170 ff.,293.5 g,codex,ark:/21198/z1dn5pt3,134 x 106 x 44.0 mm,Paper,Syriac,Sinai Syriac 256,6.2,
Sinai Syriac 258,Work,1239,1239,136 ff.,258.7 g,codex,ark:/21198/z1903ngz,130 x 104 x 43.0 mm,Paper,Syriac,Sinai Syriac 258,6.2,
Sinai Syriac 262,Work,1201/1300,13th c.,85 ff.,240.9 g,codex,ark:/21198/z1572wsp,167 x 126 x 33.0 mm,Paper,Syriac,Sinai Syriac 262,6.2,
Sinai Syriac 265,Work,1201/1300,13th c.,18 ff.,92.1 g,codex,ark:/21198/z11g24z0,169 x 134 x 23.0 mm,Paper,Syriac,Sinai Syriac 265,6.2,
Sinai Syriac 272,Work,1296,1296,200 ff.,1279 g,codex,ark:/21198/z1wq1nf8,275 x 205 x 60.0 mm,Paper,Syriac,Sinai Syriac 272,6.2,
Sinai Syriac 275,Work,1201/1300,13th c.,328 ff.,591.4 g,codex,ark:/21198/z1rz0wqj,158 x 107 x 96.0 mm,Paper,Syriac,Sinai Syriac 275,6.2,f.121-130 repeats
Sinai Syriac 276,Work,1201/1300,13th c.,195 ff.,432.4 g,codex,ark:/21198/z1n60538,145 x 102 x 75.0 mm,Parchment,Syriac,Sinai Syriac 276,6.2,
